Category,Cat Code,Sub-Category,Sub Code,Prefix
Anaesthetics,100-Anaesthetics,Haemostatic Agents,110-Haemostatic Agents,100-110-xxx
Anaesthetics,100-Anaesthetics,Injectable Medicaments,120-Injectable Medicaments,100-120-xxx
Anaesthetics,100-Anaesthetics,Local Anaesthetics,130-Local Anaesthetics,100-130-xxx
Anaesthetics,100-Anaesthetics,Needles,140-Needles,100-140-xxx
Anaesthetics,100-Anaesthetics,Syringes,150-Syringes,100-150-xxx
Anaesthetics,100-Anaesthetics,Topical Anaesthetics,160-Topical Anaesthetics,100-160-xxx
Anaesthetics,100-Anaesthetics,Topical Medicaments,170-Topical Medicaments,100-170-xxx
Apparel,120-Apparel,Accessories,110-Accessories,120-110-xxx
Apparel,120-Apparel,Clinical,120-Clinical,120-120-xxx
Apparel,120-Apparel,Footware,130-Footware,120-130-xxx
Apparel,120-Apparel,Non-Clinical,140-Non-Clinical,120-140-xxx
Biomaterials,140-Biomaterials,Bone Substitutes,110-Bone Substitutes,140-110-xxx
Biomaterials,140-Biomaterials,Resorbable Membranes,120-Resorbable Membranes,140-120-xxx
Burs,160-Burs,Accessories,110-Accessories,160-110-xxx
Burs,160-Burs,Carbide Burs,120-Carbide Burs,160-120-xxx
Burs,160-Burs,Diamond Burs,130-Diamond Burs,160-130-xxx
Burs,160-Burs,Surgical Burs,140-Surgical Burs,160-140-xxx
Burs,160-Burs,Two-Striper Burs,150-Two-Striper Burs,160-150-xxx
Cosmetics,180-Cosmetics,Whitening Equipment,110-Whitening Equipment,180-110-xxx
Cosmetics,180-Cosmetics,Whitening Gels,120-Whitening Gels,180-120-xxx
Cosmetics,180-Cosmetics,Whitening Kits,130-Whitening Kits,180-130-xxx
Disposable Products,200-Disposable Products,Barrier Products,110-Barrier Products,200-110-xxx
Disposable Products,200-Disposable Products,Cotton Products,120-Cotton Products,200-120-xxx
Disposable Products,200-Disposable Products,Equipment Covers,130-Equipment Covers,200-130-xxx
Disposable Products,200-Disposable Products,Evacuation Tips & Valves,140-Evacuation Tips & Valves,200-140-xxx
Disposable Products,200-Disposable Products,Face Masks,150-Face Masks,200-150-xxx
Disposable Products,200-Disposable Products,Gauze Sponges,160-Gauze Sponges,200-160-xxx
Disposable Products,200-Disposable Products,Gloves,170-Gloves,200-170-xxx
Disposable Products,200-Disposable Products,Mixing Pads,180-Mixing Pads,200-180-xxx
Disposable Products,200-Disposable Products,Patient Bibs,190-Patient Bibs,200-190-xxx
Disposable Products,200-Disposable Products,Plastic Cup & Tray,200-Plastic Cup & Tray,200-200-xxx
Disposable Products,200-Disposable Products,Surgical Gowns & Caps,210-Surgical Gowns & Caps,200-210-xxx
