Item ID,Created Time,Last Modified Time,Item Name,Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,Unit Name,SKU,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,Inventory Valuation Method,Track Batches,Reorder Level,Preferred Vendor,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Item Type,Sellable,Purchasable,Track Inventory,Category Name,Parent Category,CF.UoM,CF.Source URL,CF.Shopify status,CF.Shopify Collection,CF.Shopify var 1 - name,CF.Shopify var 1 - value,CF.Shopify var 2 - name,CF.Shopify var 2 - value,CF.Shopify var 3 - name,CF.Shopify var 3 - value,CF.SKU - new
5583220000000913180,2025-06-24 09:23:03,2026-01-29 17:05:17,6.0MM OSTEOTOME,,NGN 29900.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,,,,,,,,,,goods,2,,,Active,pcs,Pieces,320-130-001,,,,,NGN 6164.00,Cost of Goods Sold,,Inventory Asset,fifo,false,1.00,BICON,1.00,NGN 6164.00,1.00,false,Inventory,true,true,true,130-Osteotomes,320-Implantology,Pieces,,,,,,,,,,180-130-001
5583220000000913656,2025-06-24 09:23:04,2026-01-29 16:44:50,1557 REGULAR LENGTH BUR,,NGN 810.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,,,,,,,,,,goods,2,,,Active,pcs,Pieces,160-120-002,,,,,NGN 600.00,Cost of Goods Sold,,Inventory Asset,fifo,false,1.00,BICON,5.00,NGN 810.00,5.00,false,Inventory,true,true,true,120-Carbide Burs,160-Burs,Pieces,https://store.bicon.com/1557-regular-length-bur-5-260--155--701,,,,,,,,,130-200-001
5583220000000914129,2025-06-24 09:23:05,2026-01-29 16:45:55,11MM ABUTMENT CUTTING BURS,Test Description Plain Text,NGN 67400.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,160-140-001,,,,,NGN 49910.15,Cost of Goods Sold,,Inventory Asset,fifo,false,1.00,BICON,3.00,NGN 49910.15,3.00,false,Inventory,true,true,true,140-Surgical Burs,160-Burs,Pieces,https://store.bicon.com/instrumentation/11mm-abutment-cutting-bur-260--201--011,,,,,,,,,240-250-001
5583220000000914602,2025-06-24 09:23:06,2026-01-29 08:47:31,1557 LATCH TYPE BUR,,NGN 4200.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,,,,,,,,,,goods,2,,,Active,pcs,Pieces,160-120-001,,,,,NGN 782.00,Cost of Goods Sold,,Inventory Asset,fifo,false,1.00,BICON,5.00,NGN 782.00,5.00,false,Inventory,true,true,true,120-Carbide Burs,160-Burs,Pieces,,,,,,,,,,180-130-002
5583220000000915075,2025-06-24 09:23:07,2026-01-29 16:54:22,4.0MM LATCH REAMER,,NGN 119500.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,,,,,,,,,,goods,2,,,Active,Pcs,,260-150-007,,,,,NGN 82110.24,Cost of Goods Sold,,Inventory Asset,fifo,false,1.00,BICON,2.00,NGN 75570.85,2.00,false,Inventory,true,true,true,150-Files & Reamers,260-Endodontics,Pieces,,,,,,,,,,180-130-003
5583220000000915548,2025-06-24 09:23:08,2026-01-29 16:54:29,4.5MM LATCH REAMER,,NGN 119500.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,cm,kg,,,,,,,,goods,2,,,Active,Pcs,,260-150-010,,,,,NGN 88216.05,Cost of Goods Sold,cm,Inventory Asset,fifo,false,1.00,BICON,1.00,NGN 39968.23,1.00,false,Inventory,true,true,true,150-Files & Reamers,260-Endodontics,Pieces,,,,,,,,,,180-130-004
5583220000000916021,2025-06-24 09:23:09,2026-01-29 16:54:46,5.0MM LATCH REAMER,,NGN 119500.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,,,,,,,,,,goods,2,,,Active,Pcs,,260-150-012,,,,,NGN 39968.22,Cost of Goods Sold,,Inventory Asset,fifo,false,1.00,BICON,1.00,NGN 39968.22,1.00,false,Inventory,true,true,true,150-Files & Reamers,260-Endodontics,Pieces,,,,,,,,,,180-130-005
5583220000000916494,2025-06-24 09:23:10,2026-01-29 16:54:55,5.5MM LATCH REAMER,,NGN 119500.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,,,,,,,,,,goods,2,,,Active,Pcs,,260-150-016,,,,,NGN 39968.23,Cost of Goods Sold,,Inventory Asset,fifo,false,1.00,BICON,1.00,NGN 39968.23,1.00,false,Inventory,true,true,true,150-Files & Reamers,260-Endodontics,Pieces,,,,,,,,,,180-130-006
5583220000000916969,2025-06-24 09:23:12,2026-01-29 16:54:16,3.5MM LATCH REAMER,,NGN 125000.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,,,,,,,,,,goods,2,,,Active,Pcs,,260-150-005,,,,,NGN 82110.24,Cost of Goods Sold,,Inventory Asset,fifo,false,1.00,BICON,1.00,NGN 82110.23,1.00,false,Inventory,true,true,true,150-Files & Reamers,260-Endodontics,Pieces,,,,,,,,,,180-130-007
5583220000000917442,2025-06-24 09:23:13,2026-01-29 16:54:06,2.5MM LATCH REAMER,,NGN 125000.00,Sales,false,Bicon,BICON,0.00,0.00,0.00,0.00,,,,,,,,,,goods,2,,,Active,Pcs,,260-150-001,,,,,NGN 39968.23,Cost of Goods Sold,,Inventory Asset,fifo,false,1.00,BICON,1.00,NGN 39968.23,0.00,false,Inventory,true,true,true,150-Files & Reamers,260-Endodontics,Pieces,,,,,,,,,,180-130-008
