SKU,Initial Status,Action Taken,Final Status,Timestamp
180-130-002,Update Required,Updated Group,Published,2026-02-22 13:45:31
200-190-001,New/Pending,Bulk Add,Error uploading,2026-02-23 09:45:26
340-190-011,New/Pending,Bulk Add,Error uploading,2026-02-23 09:45:28
160-140-006,New/Pending,Bulk Add,Error uploading,2026-02-23 09:45:30
200-120-001,Update Required,Bulk Update,Published,2026-02-23 09:45:33
200-120-002,Update Required,Bulk Update,Published,2026-02-23 09:45:37
200-120-003,Update Required,Bulk Update,Published,2026-02-23 09:45:40
200-120-004,Update Required,Bulk Update,Published,2026-02-23 09:45:43
340-190-020,New/Pending,Bulk Add,Error uploading,2026-02-23 09:45:45
420-110-002,New/Pending,Bulk Add,Error uploading,2026-02-23 09:45:48
340-190-025,New/Pending,Bulk Add,Error uploading,2026-02-23 09:45:50
260-150-006,New/Pending,Bulk Add,Error uploading,2026-02-23 09:45:52
260-150-008,New/Pending,Bulk Add,Error uploading,2026-02-23 09:45:54
620-110-001,Update Required,Bulk Update,Published,2026-02-23 09:45:57
620-110-002,New/Pending,Bulk Add,Published,2026-02-23 09:45:58
420-110-012,New/Pending,Bulk Add,Error uploading,2026-02-23 09:46:00
200-120-005,Update Required,Bulk Update,Published,2026-02-23 09:46:04
480-150-057,New/Pending,Bulk Add,Error uploading,2026-02-23 09:46:06
480-150-049,New/Pending,Bulk Add,Error uploading,2026-02-23 09:46:08
180-110-001,Update Required,Bulk Update,Published,2026-02-23 09:46:11
200-190-001,Update Required,Bulk Update,Published,2026-02-23 09:49:34
340-190-011,Update Required,Bulk Update,Published,2026-02-23 09:49:38
160-140-006,Update Required,Bulk Update,Published,2026-02-23 09:49:41
340-190-020,Update Required,Bulk Update,Published,2026-02-23 09:49:45
420-110-002,Update Required,Bulk Update,Published,2026-02-23 09:49:48
340-190-025,Update Required,Bulk Update,Published,2026-02-23 09:49:51
260-150-006,Update Required,Bulk Update,Published,2026-02-23 09:49:54
260-150-008,Update Required,Bulk Update,Published,2026-02-23 09:49:57
420-110-012,Update Required,Bulk Update,Published,2026-02-23 09:50:00
480-150-057,Update Required,Bulk Update,Published,2026-02-23 09:50:03
480-150-049,Update Required,Bulk Update,Published,2026-02-23 09:50:06
200-190-001,Update Required,Bulk Update,Published,2026-02-23 09:56:41
340-190-011,Update Required,Bulk Update,Published,2026-02-23 09:56:43
160-140-003,Update Required,Bulk Update,Published,2026-02-23 09:56:47
160-140-004,Update Required,Bulk Update,Published,2026-02-23 09:56:50
160-140-005,Update Required,Bulk Update,Published,2026-02-23 09:56:53
160-140-006,Update Required,Bulk Update,Published,2026-02-23 09:56:56
200-120-001,Update Required,Bulk Update,Published,2026-02-23 09:56:59
200-120-002,Update Required,Bulk Update,Published,2026-02-23 09:57:02
200-120-003,Update Required,Bulk Update,Published,2026-02-23 09:57:06
200-120-004,Update Required,Bulk Update,Published,2026-02-23 09:57:09
340-190-020,Update Required,Bulk Update,Published,2026-02-23 09:57:11
420-110-002,Update Required,Bulk Update,Published,2026-02-23 09:57:13
340-190-025,Update Required,Bulk Update,Published,2026-02-23 09:57:16
260-150-006,Update Required,Bulk Update,Published,2026-02-23 09:57:18
260-150-008,Update Required,Bulk Update,Published,2026-02-23 09:57:20
420-110-012,Update Required,Bulk Update,Published,2026-02-23 09:57:23
200-120-005,Update Required,Bulk Update,Published,2026-02-23 09:57:26
480-150-057,Update Required,Bulk Update,Published,2026-02-23 09:57:29
480-150-049,Update Required,Bulk Update,Published,2026-02-23 09:57:31
180-110-001,Update Required,Bulk Update,Published,2026-02-23 09:57:33
200-140-001,Update Required,Bulk Update,Published,2026-02-23 10:11:28
200-140-013,Update Required,Bulk Update,Published,2026-02-23 10:11:32
200-140-002,New/Pending,Bulk Add,Published,2026-02-23 10:11:33
200-140-011,Update Required,Bulk Update,Published,2026-02-23 10:11:36
200-140-003,New/Pending,Bulk Add,Published,2026-02-23 10:11:37
200-140-012,Update Required,Bulk Update,Published,2026-02-23 10:11:40
200-140-004,Update Required,Bulk Update,Published,2026-02-23 10:11:43
200-140-005,Update Required,Bulk Update,Published,2026-02-23 10:11:47
200-140-006,Update Required,Bulk Update,Published,2026-02-23 10:11:50
200-140-007,New/Pending,Bulk Add,Published,2026-02-23 10:11:51
200-140-008,Update Required,Bulk Update,Published,2026-02-23 10:11:54
200-140-009,Update Required,Bulk Update,Published,2026-02-23 10:11:57
200-140-010,Update Required,Bulk Update,Published,2026-02-23 10:12:01
200-190-001,Update Required,Bulk Update,Published,2026-02-23 10:12:03
200-190-001,Update Required,Bulk Update,Published,2026-02-23 10:13:14
340-190-011,Update Required,Bulk Update,Published,2026-02-23 10:13:22
160-140-003,Update Required,Bulk Update,Published,2026-02-23 10:13:27
160-140-004,Update Required,Bulk Update,Published,2026-02-23 10:13:32
160-140-005,Update Required,Bulk Update,Published,2026-02-23 10:13:37
160-140-006,Update Required,Bulk Update,Published,2026-02-23 10:13:41
200-120-001,Update Required,Bulk Update,Published,2026-02-23 10:13:46
200-120-002,Update Required,Bulk Update,Published,2026-02-23 10:13:51
200-120-003,Update Required,Bulk Update,Published,2026-02-23 10:13:57
200-120-004,Update Required,Bulk Update,Published,2026-02-23 10:14:03
340-190-020,Update Required,Bulk Update,Published,2026-02-23 10:14:08
420-110-002,Update Required,Bulk Update,Published,2026-02-23 10:14:13
340-190-025,Update Required,Bulk Update,Published,2026-02-23 10:14:17
