sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
100-150-001,ASPIRATING SYRINGE-UNODENT,,"UnoDent Aspirating Cartridge Syringe, designed for the administration of local anesthetics. Features a breech-loading mechanism for easy cartridge insertion and a rotatable barrel for visibility of the cartridge. Made of durable stainless steel/chromium-plated brass.

Type: Aspirating Syringe
Capacity: 1.8ml / 2.2ml Cartridges
Material: Stainless Steel / Plated Brass",UnoDent,Dental Directory,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
100-140-001,DENTAL NEEDLES-MONOJECT-LONG,,"Monoject Dental Needles 27 Gauge Long (Yellow). Features an ultra-sharp, tri-beveled anti-coring tip for minimizing patient discomfort. The polypropylene hub is color-coded for easy identification and features a self-threading design for secure attachment.

Gauge: 27G Long
Color: Yellow
Features: Tri-beveled, Anti-coring, Sterile",Monoject,Cardinal Health,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
100-140-003,DENTAL NEEDLES-MONOJECT-X-SHOR,,"Monoject Dental Needles 30 Gauge Extra-Short (Blue). Designed specifically for intraligamentary injections. Features a tri-beveled, anti-coring stainless steel cannula for smooth penetration.

Gauge: 30G Extra-Short
Color: Blue
Use: Intraligamentary Injection",Monoject,Cardinal Health,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
100-140-004,NEEDLE GARD II AUTOCLAVABLE,,"Needle Gard II (Conta-Guard) by RØNVIG Dental. An autoclavable needle recapping device designed to prevent needle-stick injuries during one-handed recapping. Compatible with standard dental syringes.

Type: Needle Safety Device
Feature: Autoclavable
Application: Infection Control / Safety",Needle Gard,RØNVIG Dental,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
100-140-002,DENTAL NEEDLES-MONOJECT-SHOR,,"Monoject Dental Needles 30 Gauge Short (Blue). Sterile, disposable dental needles with a tri-beveled point and anti-coring design. Polypropylene hub fits standard dental syringes.

Gauge: 30G Short
Color: Blue
Features: Sterile, Tri-beveled",Monoject,Cardinal Health,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
100-150-004,LIGMAJECT II METAL BARREL,,"Ligmaject II Intraligamental Syringe. A pistol-grip style pressure syringe designed for intraligamentary anesthesia. Delivers a precise 0.2ml dose per trigger squeeze. Autoclavable.

Type: Intraligamental Syringe
Dose: 0.2ml per click
Style: Pistol/Gun Grip",Septodont,Septodont,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
100-130-002,LIGNOSPAN 2% RED 1:100,LIGNOSPAN 2% 1:100 - Red,"Lignospan Standard (Lidocaine HCl 2% with Epinephrine 1:100,000). A sterile, isotonic solution for local dental anesthesia. Provides profound anesthesia with a rapid onset.

Active: Lidocaine HCl 2%, Epinephrine 1:100,000
Volume: 1.7ml Cartridge
Color Code: Red Band",Septodont,Septodont,LIGNOSPAN 2% 1:100,Color,Red,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
100-140-006,TRANSCOJECT NEEDLES 25G SHORT,TRANSCOJECT NEEDLES SHORT - 25g,"Transcoject Painless Steel Injection Needles 25 Gauge Short. Features a unique siliconized, three-edge lancet grinding for virtually painless penetration. Threaded hub ensures secure fit.

Gauge: 25G Short
Color: Red
Features: Siliconized, 3-Edge Lancet",Transcodent,medmix (Transcodent),TRANSCOJECT NEEDLES SHORT,Volume,25g,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
100-150-003,DEPH SYRINGE CARTRIDGE ASPIRAT,,"DEHP Syringe Cartridge Self-Aspirating 2.2ml ECO. Lightweight, side-loading syringe with an automatic aspiration mechanism. Chrome-plated brass construction for durability.

Type: Self-Aspirating Syringe
Capacity: 2.2ml
Mechanism: Passive Aspiration",Dehp,DE Healthcare Products,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
100-150-002,CURVED UTILITY SYRINGE,,"Monoject 412 Curved Tip Utility Syringe. A 12mL non-sterile syringe with a tapered curved tip, ideal for irrigation, impression material delivery, and site cleaning.

Capacity: 12mL
Tip: Curved Tapered
Use: Irrigation / Utility",Monoject,Covidien,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
