sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
120-120-022,SUNVILLE MEN'S PERFORATED SIZE,SUNVILLE MENS PERFORATED,"Sunville Men's Perforated Clog. Designed for clinical comfort with a breathable perforated upper and slip-resistant sole. Ideal for long shifts in dental and medical environments.

Type: Clinical Clog
Feature: Perforated/Breathable
Gender: Men's",Sunville,Sunville,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-001,CHEROKEE 4777 GRPW,CHEROKEE 4777 - Grape Wine,"Cherokee Workwear Core Stretch Unisex Scrub Top (Style 4777). Features soft, durable fabric with mechanical stretch for ease of movement. V-neck design with chest pocket and instrument loop.

Style: Core Stretch Unisex (4777)
Fabric: Cotton/Poly/Spandex Blend
Pockets: 1 Chest Pocket",Cherokee,Cherokee Uniforms,CHEROKEE 4777,Color,Grape Wine,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-023,MOCK WRAP TOP S NAVY (WT668C),MOCK WRAP TOP (WT668C) - Small / Navy,"WonderWink WorkFlex Women's Mock Wrap Top (Style WT668C). A flattering mock wrap design with mechanical stretch fabric. Features top-loading front pockets and a signature comfortable fit.

Style: WorkFlex Mock Wrap
Gender: Women's
Features: Stretch Fabric, Multi-Pocket",WonderWink,WonderWink,MOCK WRAP TOP (WT668C),Size,Small,Color,Navy,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-016,ELASTIC WAIST PANT S- NAVY,ELASTIC WAIST PANT - Small / Navy,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,,,ELASTIC WAIST PANT,Size,Small,Color,Navy,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-029,UNISEX DRAWSTRING PANT S- NAVY,UNISEX DRAWSTRING PANT - Small / Navy,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,,,UNISEX DRAWSTRING PANT,Size,Small,Color,Navy,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-012,DSA MHS TOP & PANT MALE (S),DSA MHS TOP & PANT MALE - Small,"Professional Clinical Scrub Set (Male/Unisex). Includes a durable V-neck top and matching trousers. Designed for daily dental surgery use, offering ease of care and professional appearance.

Set: Top & Pant
Gender: Male/Unisex
Use: Clinical Uniform",Generic,Dsa,DSA MHS TOP & PANT MALE,Size,Small,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-013,DSA MHS TOP & PANT MALE-(M),DSA MHS TOP & PANT MALE- - Medium,"Professional Clinical Scrub Set (Male/Unisex). Includes a durable V-neck top and matching trousers. Designed for daily dental surgery use, offering ease of care and professional appearance.

Set: Top & Pant
Gender: Male/Unisex
Use: Clinical Uniform",Generic,Dsa,DSA MHS TOP & PANT MALE-,Size,Medium,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-011,DSA MHS TOP & PANT MALE (L),DSA MHS TOP & PANT MALE - Large,"Professional Clinical Scrub Set (Male/Unisex). Includes a durable V-neck top and matching trousers. Designed for daily dental surgery use, offering ease of care and professional appearance.

Set: Top & Pant
Gender: Male/Unisex
Use: Clinical Uniform",Generic,Dsa,DSA MHS TOP & PANT MALE,Size,Large,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-005,CHEROKEE 4876 M GALAXY,CHEROKEE 4876 - Medium / Galaxy,"Cherokee Workwear Originals Unisex V-Neck Top (Style 4876). A healthcare classic featuring a chest pocket and two patch pockets. Durable soil-release fabric withstands frequent commercial laundering.

Style: Workwear Originals (4876)
Gender: Unisex
Color: Galaxy Blue",Cherokee,Cherokee Uniforms,CHEROKEE 4876,Size,Medium,Color,Galaxy,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
120-120-007,CHEROKEE 4876 XL WINE,CHEROKEE 4876 - Extra Large / Wine,"Cherokee Workwear Originals Unisex V-Neck Top (Style 4876). A healthcare classic featuring a chest pocket and two patch pockets. Durable soil-release fabric withstands frequent commercial laundering.

Style: Workwear Originals (4876)
Gender: Unisex
Color: Wine",Cherokee,Cherokee Uniforms,CHEROKEE 4876,Size,Extra Large,Color,Wine,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
