sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
160-120-002,1557 REGULAR LENGTH BUR,REGULAR LENGTH BUR - 1557,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,Bicon,Bicon,REGULAR LENGTH BUR,Shape,1557,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
160-140-001,11MM ABUTMENT CUTTING BURS,11mm ABUTMENT CUTTING BURS,Bicon 11mm Abutment Cutting Burs are specialized carbide instruments designed for the precise preparation and modification of Bicon implant abutments. Features a round-end taper design for optimal shaping.,Bicon,Bicon,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
160-120-001,1557 LATCH TYPE BUR,LATCH TYPE BUR - 1557,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,Bicon,Bicon,LATCH TYPE BUR,Shape,1557,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
160-110-004,BUR CLEANING BRUSH - METAL,BUR CLEANING BRUSH-METAL,Metal Bur Cleaning Brush designed to remove debris and enhance the life of dental burs. Features durable bristles for effective cleaning without damaging the instrument cutting edges.,Ethoss Dental,Ethoss Dental,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
160-110-005,BUR DISINFECTING BOX,,"DD offer a full range of burs including sterile diamond burs, gold diamond burs , twister diamond burs, steel burs and Tungsten carbide burs in FG, RA and HP fittings.",UnoDent,Unodent,,,,,,,,0.00,0.00,0.00,0.00,cm,[MATCH]
160-110-006,BUR HOLDER METAL MESH,,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,,,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
160-110-003,BUR CLEANER - PULIMANT,BUR CLEANER-PULIMANT,Specialized cleaning solution for dental rotary instruments. Formulated to effectively remove debris and bio-burden from burs prior to sterilization.,Generic,Generic,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
160-110-001,BUR BLOCK - LARGE - ROUND-BLUE,BUR BLOCK-ROUND - Large / Blue,"Durable Bur Block designed for organizing and sterilizing dental burs. Features a secure lid and specific holes for FG, RA, or HP shanks, ensuring instruments are protected and easy to access.",Generic,Generic,BUR BLOCK-ROUND,Size,Large,Color,Blue,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
160-110-002,BUR BLOCK - LID - ROUND-BLUE,BUR BLOCK-LID-ROUND - Blue,"Durable Bur Block designed for organizing and sterilizing dental burs. Features a secure lid and specific holes for FG, RA, or HP shanks, ensuring instruments are protected and easy to access.",Generic,Generic,BUR BLOCK-LID-ROUND,Color,Blue,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
160-120-004,BURS - CARBIDE FG 558,BURS-CARBIDE FG - 558,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,,,BURS-CARBIDE FG,Shape,558,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
