sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
200-200-016,PROCEDURE TUB - MAUVE,PROCEDURE TUB-MAUVE,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,,,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
200-110-025,EVA BAGS,,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,,,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
200-190-002,CROSSTEX BIBS - BLUE,CROSSTEX BIBS - Blue,"Premium 2-Ply Tissue, 1-Ply Poly (poly-back) Dental Bibs. Embossed horizontal pattern for maximum absorbency and water resistance. Size: 13"" x 18"".",Crosstex,Crosstex,CROSSTEX BIBS,Color,Blue,,,,,45.00,33.00,21.00,3.18,cm,[MATCH]
200-190-003,CROSSTEX BIBS - LAVENDER,CROSSTEX BIBS-LAVENDER,"Premium 2-Ply Tissue, 1-Ply Poly (poly-back) Dental Bibs. Embossed horizontal pattern for maximum absorbency and water resistance. Size: 13"" x 18"".",Crosstex,Crosstex,,,,,,,,45.00,33.00,21.00,3.18,cm,[MATCH]
200-190-004,CROSSTEX BIBS - PEACH 500PK,CROSSTEX BIBS-PEACH 500PK,"Premium 2-Ply Tissue, 1-Ply Poly (poly-back) Dental Bibs. Embossed horizontal pattern for maximum absorbency and water resistance. Size: 13"" x 18"".",Crosstex,Crosstex,,,,,,,,45.00,33.00,21.00,3.18,cm,[MATCH]
200-190-005,CROSSTEX BIBS - YELLOW 500PK,CROSSTEX BIBS-500PK - Yellow,"Premium 2-Ply Tissue, 1-Ply Poly (poly-back) Dental Bibs. Embossed horizontal pattern for maximum absorbency and water resistance. Size: 13"" x 18"".",Crosstex,Crosstex,CROSSTEX BIBS-500PK,Color,Yellow,,,,,45.00,33.00,21.00,3.18,cm,[MATCH]
200-190-010,PLASDENT BIBS 2-PLY PINK,PLASDENT BIBS 2-PLY - Pink,"Premium 2-Ply Tissue, 1-Ply Poly (poly-back) Dental Bibs. Embossed horizontal pattern for maximum absorbency and water resistance. Size: 13"" x 18"".",Plasdent,Plasdent,PLASDENT BIBS 2-PLY,Color,Pink,,,,,45.00,33.00,21.00,3.18,cm,[MATCH]
200-190-011,PLASDENT BIBS 2-PLY YELLOW,PLASDENT BIBS 2-PLY - Yellow,"Premium 2-Ply Tissue, 1-Ply Poly (poly-back) Dental Bibs. Embossed horizontal pattern for maximum absorbency and water resistance. Size: 13"" x 18"".",Plasdent,Plasdent,PLASDENT BIBS 2-PLY,Color,Yellow,,,,,45.00,33.00,21.00,3.18,cm,[MATCH]
200-190-007,PLASDENT BIBS 2-PLY GREEN,PLASDENT BIBS 2-PLY - Green,"Premium 2-Ply Tissue, 1-Ply Poly (poly-back) Dental Bibs. Embossed horizontal pattern for maximum absorbency and water resistance. Size: 13"" x 18"".",Plasdent,Plasdent,PLASDENT BIBS 2-PLY,Color,Green,,,,,45.00,33.00,21.00,3.18,cm,[MATCH]
200-170-020,UNODENT NITRISOFT NITRILE EXAMINATION GLOVES BLUE SMALL (200 PK),UNODENT NITRISOFT NITRILE EXAMINATION GLOVES (200 PK) - Small / Blue,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,UnoDent,Unodent,UNODENT NITRISOFT NITRILE EXAMINATION GLOVES (200 PK),Size,Small,Color,Blue,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
