sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
280-130-003,ARTICULATOR WITH MAGNETIC PLAT,,Precision Articulator With Magnetic Plat designed for accurate occlusion analysis and prosthetic fabrication. Features robust construction for reliable laboratory use.,Ray Foster,Ray Foster,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-130-001,APEX#2 ARTICULATOR CHROME G075,APEX ARTICULATOR CHROME G075,Precision Apex#2 Articulator Chrome G075 designed for accurate occlusion analysis and prosthetic fabrication. Features robust construction for reliable laboratory use.,Ray Foster,Ray Foster,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-140-022,25 MICRON FILTER ELEMENT,FILTER ELEMENT,"Premium 25 Micron Filter Element (25 Micron) designed to protect dental unit components from debris and contaminants.

Specifications:
- Filter Size: 25 Micron
",Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-009,CASTELLINI BOTTEL CONNECTOR GASKET,,Genuine replacement Castellini Bottel Connector Gasket ensuring proper sealing and functionality for dental equipment units.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-013,CASTELLINI FIBRE OPTIC BULB-1P,CASTELLINI FIBRE OPTIC BULB 1P,Replacement Castellini Fibre Optic Bulb 1P (standard) for dental units. Engineered to provide optimal illumination and color accuracy for clinical procedures.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-015,CASTELLINI FIBRE OPTIC BULB-2P,CASTELLINI FIBRE OPTIC BULB 2P,Replacement Castellini Fibre Optic Bulb 2P (standard) for dental units. Engineered to provide optimal illumination and color accuracy for clinical procedures.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-011,CASTELLINI FIBRE OPTIC BULB,,Replacement Castellini Fibre Optic Bulb (standard) for dental units. Engineered to provide optimal illumination and color accuracy for clinical procedures.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-048,POLYLIGHT LAMP 8V-50W-FR300A07,POLYLIGHT LAMP-FR300A07,"Replacement Polylight Lamp 8V 50W-Fr300A07 (8V, 50W) for dental units. Engineered to provide optimal illumination and color accuracy for clinical procedures.

Specifications:
- Power/Spec: 8V, 50W
",Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-066,SUCTION HOSE D 17-FL0001302,SUCTION HOSE,"Durable Suction Hose D 17-Fl0001302 designed for high-flow suction and fluid management systems. Flexible and sterilization-compatible material.

Specifications:
- Part Number: D 17-FL0001302
",Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-065,SUCTION HOSE D 11-FL0001314,SUCTION HOSE,"Durable Suction Hose D 11-Fl0001314 designed for high-flow suction and fluid management systems. Flexible and sterilization-compatible material.

Specifications:
- Part Number: D 11-FL0001314
",Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-047,PICOSOLMICROSOL INTERFACE CAB,,Replacement Picosolmicrosol Interface Cab for dental unit electronics. Ensures reliable connectivity and system integration.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-170-002,NEGATOSCOPE LAMP,,Replacement Negatoscope Lamp (standard) for dental units. Engineered to provide optimal illumination and color accuracy for clinical procedures.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-120-010,HANDPIECE CONNECTOR 4-WAY GASK,,Professional Handpiece Connector 4-Way Gask engineered for smooth operation and high torque. Durable construction suitable for various clinical applications.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-001,12V 75W LIGHT BULB,LIGHT BULB,"Replacement 12V 75W Light Bulb (12V, 75W) for dental units. Engineered to provide optimal illumination and color accuracy for clinical procedures.

Specifications:
- Power/Spec: 12V, 75W
",Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-021,DISTRIBUTOR SOLENOID VALVE 99,,Precision Distributor Solenoid Valve 99 component for fluid or air control in dental units.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-038,LAMP BULB 95W 17V,LAMP BULB,"Replacement Lamp Bulb 95W 17V (95W, 17V) for dental units. Engineered to provide optimal illumination and color accuracy for clinical procedures.

Specifications:
- Power/Spec: 95W, 17V
",Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-060,SHS 1LT.TANK GROUP OCHRE,,Replacement Shs 1Lt.Tank Group Ochre for dental hygiene water systems. Designed for easy refilling and durable service.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-074,2 STAINLESS STEEL PIECE 242J10,,"Professional-grade 2 Stainless Steel Piece 242J10 designed for clinical durability and performance.

Features:
- High-reliability component for dental equipment.
- Precision engineered for compatibility.
",Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-014,ASPIRATOR-SALIVA EJECTOR BOARD,,OEM replacement Aspirator-Saliva Ejector Board for dental unit electronics. Ensures reliable system performance and compatibility.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-072,BISTABLE CONTROL PC-BOARD,,OEM replacement Bistable Control Pc-Board for dental unit electronics. Ensures reliable system performance and compatibility.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-025,ELECTRODE TYPE E (FE6001042),,Replacement Electrode Type E (Fe6001042) for dental unit electronics. Ensures reliable connectivity and system integration.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-120-007,CATTANI ART.16 ADAPTER,,Precision Cattani Art.16 Adapter component for fluid or air control in dental units.,Cattani,Cattani,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-055,SECTIONAL NOZZLE (95520263),,Precision Sectional Nozzle (95520263) component for fluid or air control in dental units.,Castellini,Castellini,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-029,FRONT CUP-BLACK-686A0100,FRONT CUP-686A0100 - Black,"Professional-grade Front Cup-Black 686A0100 designed for clinical durability and performance.

Features:
- High-reliability component for dental equipment.
- Precision engineered for compatibility.


Specifications:
- Color: Black
",Castellini,Castellini,FRONT CUP-686A0100,Color,Black,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
280-110-033,HEADREST 12152 PEARLY YELLOW,HEADREST 12152 PEARLY - Yellow,"Genuine replacement Headrest 12152 Pearly Yellow for dental chairs, ensuring patient comfort and unit functionality.

Specifications:
- Color: Yellow
",Castellini,Castellini,HEADREST 12152 PEARLY,Color,Yellow,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
