sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
360-110-001,CAN LINER - LARGE,CAN LINER - Large,"Heavy-duty medical grade can liners designed for the containment and disposal of clinical waste. Leak-resistant and durable construction ensuring safe handling of biohazards and general office waste.

Type: Clinical Waste Liner
Size: Large
Application: Infection Control & Waste Management",Generic,Generic,CAN LINER,Size,Large,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-110-003,CAN LINER -SMALL,CAN LINER - Small,"Compact medical grade can liners suitable for chairside waste bins and smaller clinical disposal units. Manufactured to prevent tearing and leakage, supporting strict hygiene protocols.

Type: Clinical Waste Liner
Size: Small
Application: Infection Control & Waste Management",Generic,Generic,CAN LINER,Size,Small,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-003,HAND TOWEL (C FOLD),,"UnoDent C-Fold Hand Towels are premium 2-ply paper towels designed for high absorbency and wet strength. The C-fold design ensures easy dispensing and compatibility with standard dispensers, providing an effective hand drying solution for clinical environments.

Type: Paper Consumable
Fold: C-Fold
Features: High Absorbency, Soft Texture",UnoDent,Unodent,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-004,HAND TOWEL DISPENSER,,"Wall-mounted hand towel dispenser designed for C-fold and multifold paper towels. Features a durable, easy-to-clean surface that supports infection control protocols in the dental operatory.

Type: Dispenser
Compatibility: C-Fold/Multifold Towels
Material: Durable Plastic/Metal",Generic,Generic,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-110-002,CAN LINER - LARGE (YELLOW),CAN LINER- - Large / Yellow,"Heavy-duty medical grade can liners designed for the containment and disposal of clinical waste. Leak-resistant and durable construction ensuring safe handling of biohazards and general office waste.

Type: Clinical Waste Liner
Size: Large
Application: Infection Control & Waste Management",Generic,Generic,CAN LINER-,Size,Large,Color,Yellow,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-110-004,CAN LINER LARGE (RED),CAN LINER - Large / Red,High-quality Dental Supply item for professional clinical use. Manufactured to meet strict dental industry standards.,,,CAN LINER,Size,Large,Color,Red,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-130-007,STICKY WRAP DISPENSER,,"Acrylic dispenser designed for infection control barrier film (sticky wrap). Facilitates easy, single-handed dispensing of protective film sheets to prevent cross-contamination on clinical surfaces.

Type: Barrier Film Dispenser
Application: Infection Control",Generic,Generic,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-120-006,ORANGE SOLVENT (80Z),SOLVENT (80Z) - Orange,"Versatile dental cleaning solution with a pleasant orange scent. Specifically formulated to remove impression materials, zinc-oxide eugenol cements, and rubber-base residues from instruments, hands, and surfaces without damaging finishes.

Volume: 8oz
Scent: Orange
Use: Material Removal & Cleaning",Generic,Generic,SOLVENT (80Z),Color,Orange,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-120-005,SURGISCRUB 4L,SURGISCRUB - 4l,"4% Chlorhexidine Gluconate surgical scrub solution. Provides broad-spectrum antimicrobial activity for surgical hand disinfection and preoperative skin preparation. Essential for maintaining sterile protocols in the surgical suite.

Active Ingredient: 4% Chlorhexidine Gluconate
Volume: 4 Liters
Use: Surgical Hand Scrub / Skin Antisepsis",Surgiscrub,Steriline,SURGISCRUB,Volume,4l,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
360-120-008,VIVID DUALZYME TABLETS (64),,"Vivid Dualzyme is a powerful dual-enzymatic ultrasonic cleaning solution in tablet form. Breakdowns protein and carbohydrate soils from dental instruments while containing anti-corrosive agents to protect delicate equipment.

count: 64 Tablets
Action: Dual Enzymatic
Use: Ultrasonic Instrument Cleaning",Vivid,Pearson Dental,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
