sku,shopify_collection,enriched_title,variant_1_name,variant_1_value,variant_2_name,variant_2_value,enrichment_comments
320-130-001,,6.0MM OSTEOTOME,,,,,[INFERRED]
160-120-002,,1557 REGULAR LENGTH BUR,,,,,[MATCH]
160-140-001,,11MM ABUTMENT CUTTING BURS,,,,,[MATCH]
160-120-001,,1557 LATCH TYPE BUR,,,,,[MATCH]
260-150-007,,4.0MM LATCH REAMER,,,,,[INFERRED]
260-150-010,,4.5MM LATCH REAMER,,,,,[INFERRED]
260-150-012,,5.0MM LATCH REAMER,,,,,[INFERRED]
260-150-016,,5.5MM LATCH REAMER,,,,,[INFERRED]
260-150-005,,3.5MM LATCH REAMER,,,,,[INFERRED]
260-150-001,,2.5MM LATCH REAMER,,,,,[INFERRED]
260-150-004,,3.0MM LATCH REAMER,,,,,[INFERRED]
260-150-018,,6.0MM LATCH REAMER,,,,,[INFERRED]
260-150-002,,3.0MM EXTENDED LATCH REAMER,,,,,[INFERRED]
520-210-004,,DURALAY P&S 20z RED,,,,,[INFERRED]
520-210-005,,DURALAY PIN,,,,,[INFERRED]
380-120-001,,SNAP LIQUID (MONOMER),,,,,[INFERRED]
380-120-003,,SNAP POWDER SHADE 61,,,,,[INFERRED]
380-120-004,,SNAP POWDER SHADE 62,,,,,[INFERRED]
380-120-005,,SNAP POWDER SHADE 65,,,,,[INFERRED]
380-120-006,,SNAP POWDER SHADE 69,,,,,[INFERRED]
100-150-001,,ASPIRATING SYRINGE-UNODENT,,,,,[INFERRED]
100-140-001,,DENTAL NEEDLES-MONOJECT-LONG,,,,,[INFERRED]
100-140-003,,DENTAL NEEDLES-MONOJECT-X-SHOR,,,,,[INFERRED]
100-140-004,,NEEDLE GARD II AUTOCLAVABLE,,,,,[INFERRED]
100-140-002,,DENTAL NEEDLES-MONOJECT-SHOR,,,,,[INFERRED]
480-120-005,,TOPICAL GEL (BUBBLE GUM)- PEAR,,,,,[INFERRED]
480-120-009,,TOPICAL GEL (PINA COLADA)- PEA,,,,,[INFERRED]
480-120-013,,TOPICAL GEL-CHERRY-PAC DENT,,,,,[INFERRED]
100-150-004,,LIGMAJECT II METAL BARREL,,,,,[INFERRED]
100-130-002,,LIGNOSPAN 2% RED 1:100,,,,,[INFERRED]
480-120-011,,TOPICAL GEL( RASPBERRY) PEARSO,,,,,[INFERRED]
480-120-012,,TOPICAL GEL( STRAWBERRY) PEARS,,,,,[INFERRED]
480-120-006,,FLUORIDE GEL CHERRY (GELATO),,,,,[INFERRED]
480-120-007,,FLUORIDE GEL S. BERRY (GELATO),,,,,[INFERRED]
480-120-008,,TOPICAL GEL (CHERRY) PEARSON,,,,,[INFERRED]
100-140-006,,TRANSCOJECT NEEDLES 25G SHORT,,,,,[INFERRED]
