shopify_title,shopify_handle,shopify_status,variant_count,skus,expected_collection,has_image,has_description,issues,product_type,vendor
BEESURE FACE MASK,beesure-face-mask,ACTIVE,5,"200-150-001, 200-150-002, 200-150-003, 200-150-004, 200-150-005",,True,True,"SKU not found in inventory CSV: 200-150-001, 200-150-002, 200-150-003, 200-150-004, 200-150-005",150-Face Masks,BeeSure
BEESURE GLOVES,beesure-gloves,ACTIVE,2,"200-170-001, 200-170-002",,True,True,"SKU not found in inventory CSV: 200-170-001, 200-170-002",170-Gloves,BeeSure
BridgeAid Floss Threaders,bridgeaid-floss-threaders,ACTIVE,1,480-110-005,,True,True,SKU not found in inventory CSV: 480-110-005,110-Floss & Interdental Aids,BridgeAid
COLTENE COMPOSITE,coltene-composite,ACTIVE,10,"520-160-002, 520-160-003, 520-160-004, 520-160-005, 520-160-006, 520-160-007, 520-160-008, 520-160-009, 520-160-010, 520-160-011",,True,True,"SKU not found in inventory CSV: 520-160-002, 520-160-003, 520-160-004, 520-160-005, 520-160-006, 520-160-007, 520-160-008, 520-160-009, 520-160-010, 520-160-011",160-Composites,Brilliant Flow
Crosstex Patient Bibs,crosstex-patient-bibs,ACTIVE,4,"200-190-002, 200-190-003, 200-190-004, 200-190-005",,True,True,"SKU not found in inventory CSV: 200-190-002, 200-190-003, 200-190-004, 200-190-005",190-Patient Bibs,Crosstex
Monoject Dental Needles,monoject-dental-needles,ACTIVE,3,"100-140-001, 100-140-003, 100-140-002",,True,True,"SKU not found in inventory CSV: 100-140-001, 100-140-003, 100-140-002",140-Needles,Monoject
Needle Gard II,needle-gard-ii,ACTIVE,1,100-140-004,,True,True,SKU not found in inventory CSV: 100-140-004,140-Needles,Needle Gard
Septodont Syringes,septodont-syringes,ACTIVE,1,100-150-004,,True,True,SKU not found in inventory CSV: 100-150-004,150-Syringes,Septodont
Septodont Local Anaesthetics,septodont-local-anaesthetics,ACTIVE,3,"100-130-002, 100-130-003, 100-130-001",Septodont Local Anaesthetics,True,True,SKU not found in inventory CSV: 100-130-002,130-Local Anaesthetics,Septodont
Transcoject Painless Steel,transcoject-painless-steel,ACTIVE,1,100-140-006,,True,True,SKU not found in inventory CSV: 100-140-006,140-Needles,Transcodent
DEHP Syringes,dehp-syringes,ACTIVE,1,100-150-003,,True,True,SKU not found in inventory CSV: 100-150-003,150-Syringes,DEHP
Plasdent Patient Bibs,plasdent-patient-bibs,ACTIVE,6,"200-190-010, 200-190-011, 200-190-007, 200-190-006, 200-190-008, 200-190-009",,True,True,"SKU not found in inventory CSV: 200-190-010, 200-190-011, 200-190-007, 200-190-006, 200-190-008, 200-190-009",190-Patient Bibs,Plasdent
MEDITRADE GLOVES,meditrade-gloves,ACTIVE,3,"200-170-013, 200-170-012, 200-170-010",,True,True,"SKU not found in inventory CSV: 200-170-013, 200-170-012, 200-170-010",170-Gloves,MEDITRADE
Monoject Syringes,monoject-syringes,ACTIVE,1,100-150-002,,True,True,SKU not found in inventory CSV: 100-150-002,150-Syringes,Monoject
MEDESY RETAINER CASE,medesy-retainer-case,ACTIVE,4,"420-110-016, 420-110-015, 420-110-017, 420-110-018",,True,True,"SKU not found in inventory CSV: 420-110-016, 420-110-015, 420-110-017, 420-110-018",110-Accessories,Medesy
Miltex Spare Parts,miltex-spare-parts,ACTIVE,1,100-150-007,Miltex Spare Parts,True,True,OK,150-Syringes,Miltex
Septoject Standard,septoject-standard,ACTIVE,1,100-140-005,Septoject Standard,True,True,OK,140-Needles,Septoject
Unodent Bibs Holder,unodent-bibs-holder,ACTIVE,3,"200-190-013, 200-190-014, 200-190-012",,True,True,"SKU not found in inventory CSV: 200-190-013, 200-190-014, 200-190-012",190-Patient Bibs,UnoDent
Bicon Universal,bicon-universal,ACTIVE,3,"320-170-003, 320-170-002, 320-170-001",,True,True,"SKU not found in inventory CSV: 320-170-003, 320-170-002, 320-170-001",170-Universal Abutments,Bicon
Vivid Syringes,vivid-syringes,ACTIVE,1,100-150-006,Vivid Syringes,True,True,OK,150-Syringes,Vivid
Medesy Syringes,medesy-syringes,ACTIVE,1,100-150-005,Medesy Syringes,True,True,OK,150-Syringes,Medesy
11MM ABUTMENT CUTTING BURS,11mm-abutment-cutting-burs,ACTIVE,1,160-140-001,,True,True,SKU not found in inventory CSV: 160-140-001,140-Surgical Burs,Bicon
Carbide Burs,carbide-burs-2,ACTIVE,2,"160-120-001, 160-120-002",,True,True,"SKU not found in inventory CSV: 160-120-001, 160-120-002",Dental Supply,Dental Solutions
Bicon Membranes,bicon-membranes-2,ACTIVE,2,"140-120-001, 140-120-002",(no collection),True,True,OK,Dental Supply,Dental Solutions
ORATEK FLOSS & BRUSH,oratek-floss-brush-1,ACTIVE,2,"480-110-002, 480-110-003",,True,True,"SKU not found in inventory CSV: 480-110-002, 480-110-003",Dental Supply,Dental Solutions
BICON INTEGRA CP,bicon-integra-cp-1,ACTIVE,20,"320-120-002, 320-120-003, 320-120-004, 320-120-005, 320-120-006, 320-120-008, 320-120-009, 320-120-010, 320-120-011, 320-120-012, 320-120-013, 320-120-014, 320-120-015, 320-120-016, 320-120-017, 320-120-018, 320-120-019, 320-120-020, 320-120-021, 320-120-022",BICON INTEGRA CP,True,True,"SKU not found in inventory CSV: 320-120-021, 320-120-022",Dental Supply,Dental Solutions
Dental Accessories,dental-accessories-2,ACTIVE,1,140-120-003,,True,True,SKU not found in inventory CSV: 140-120-003,Dental Supply,Dental Solutions
